college_x,height_x,position_x,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,salary,season,draft_round,draft_pick
University of Georgia,80.0,F,0.0,0.0,0.0,11.0,0.544,6.0,0.6829999999999999,5.2,3.5,28.0,15.5,400250.0,1997,2,44
University of Alabama,76.0,G,2.8,0.387,1.1,8.6,0.473,4.1,0.785,2.9,2.3,111.0,10.8,400925.0,1987,1,20
Eastern Illinois University,84.0,C,0.0,0.0,0.0,9.2,0.5770000000000001,5.3,0.705,3.8,2.7,118.0,13.3,400925.0,1987,2,33
Georgia Institute of Technology,72.0,G,5.9,0.44,2.6,13.8,0.48700000000000004,6.7,0.85,4.0,3.4,126.0,17.4,400925.0,1987,2,25
University of Washington,86.0,C,0.0,0.0,0.0,5.2,0.511,2.7,0.718,1.9,1.4,81.0,6.7,400925.0,1987,3,61
University of Missouri,74.0,G,0.0,0.0,0.0,9.9,0.493,4.9,0.848,3.1,2.7,128.0,12.5,401478.0,1984,1,16
Tennessee State University,79.0,F,2.4,0.43799999999999994,1.0,15.3,0.461,7.1,0.713,5.7,4.1,111.0,18.7,403620.0,1991,3,53
"University of Houston, New Mexico State University",74.0,G,0.7,0.31,0.2,6.8,0.436,3.0,0.703,4.2,3.0,117.0,9.1,403620.0,1991,2,31
Tennessee Technological University,84.0,C-F,0.1,0.28600000000000003,0.0,10.3,0.46799999999999997,4.8,0.667,3.8,2.6,80.0,12.2,405199.99999999994,1990,2,50
Purdue University,81.0,C-F,0.0,0.0,0.0,5.4,0.685,3.7,0.75,4.1,3.1,110.0,10.5,405199.99999999994,1990,2,39
University of Alabama,79.0,F,0.1,0.2,0.0,9.5,0.5770000000000001,5.5,0.713,3.7,2.6,128.0,13.7,405199.99999999994,1990,2,37
University of Missouri,85.0,C,0.0,0.0,0.0,4.7,0.56,2.6,0.516,2.3,1.2,132.0,6.4,405199.99999999994,1990,2,34
Indiana University,77.0,G,0.0,0.0,0.0,5.1,0.511,2.6,0.728,2.0,1.4,114.0,6.6,406560.0,1984,2,37
University of Arkansas,82.0,F-C,0.0,0.0,0.0,10.2,0.544,5.5,0.748,5.0,3.7,120.0,14.8,406560.0,1984,2,29
Oregon State University,76.0,G,0.0,0.0,0.0,7.5,0.506,3.8,0.721,4.9,3.6,58.0,11.1,406560.0,1984,1,14
Mississippi State University,82.0,C-F,0.0,0.0,0.0,14.8,0.48700000000000004,7.2,0.6890000000000001,3.9,2.7,107.0,17.2,406560.0,1984,1,13
"California State University, Fresno",79.0,F,0.0,0.0,0.0,10.0,0.532,5.3,0.805,3.5,2.8,104.0,13.5,406560.0,1984,2,31
Washington State University,81.0,F,1.1,0.374,0.4,8.6,0.5670000000000001,4.9,0.731,5.1,3.7,108.0,13.9,407056.00000000006,1996,2,31
University of Minnesota,76.0,G,5.9,0.366,2.2,12.7,0.44799999999999995,5.7,0.802,3.7,3.0,127.0,16.6,407880.00000000006,1996,2,46
Georgetown University,81.0,F-C,0.0,0.0,0.0,8.8,0.561,4.9,0.732,5.6,4.1,132.0,13.9,407880.00000000006,1996,2,30
Temple University,81.0,F,0.0,0.0,0.0,6.4,0.509,3.2,0.414,2.3,1.0,95.0,7.5,407880.00000000006,1996,0,0
University of North Carolina,84.0,C,0.0,0.0,0.0,3.6,0.522,1.9,0.6970000000000001,1.4,1.0,137.0,4.8,407880.00000000006,1996,0,0
"Vanderbilt University, University of Pennsylvania",75.0,G,6.0,0.405,2.4,9.8,0.419,4.1,0.7929999999999999,1.8,1.5,113.0,12.1,407880.00000000006,1996,0,0
Eastern Michigan University,76.0,G,3.9,0.418,1.6,7.7,0.475,3.7,0.753,2.0,1.5,113.0,10.4,407880.00000000006,1996,0,0
"San Jose State University, University of Nebraska",81.0,F,0.5,0.21899999999999997,0.1,6.8,0.466,3.2,0.677,4.1,2.8,64.0,9.2,407880.00000000006,1996,0,0
Rice University,82.0,F-C,0.0,0.0,0.0,11.4,0.552,6.3,0.581,6.4,3.7,117.0,16.3,407880.00000000006,1996,0,0
Virginia Union University,81.0,F-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407880.00000000006,1996,0,0
New Mexico State University,76.0,G,1.3,0.267,0.3,11.5,0.433,5.0,0.615,3.6,2.2,60.0,12.5,407880.00000000006,1996,0,0
"Syracuse University, University of Washington",83.0,C,0.1,0.25,0.0,7.3,0.55,4.0,0.738,2.1,1.5,121.0,9.5,407880.00000000006,1996,2,40
McNeese State University,75.0,G,0.3,0.625,0.2,17.6,0.462,8.1,0.7879999999999999,7.9,6.2,116.0,22.5,411060.0,1985,1,18
University of Houston,73.0,G,3.7,0.294,1.1,11.9,0.41700000000000004,5.0,0.7959999999999999,5.8,4.6,57.0,15.6,412000.00000000006,1996,2,52
"Wichita State University, University of Kansas",85.0,C,0.0,0.0,0.0,7.3,0.568,4.1,0.731,3.4,2.5,134.0,10.8,412380.0,1987,2,26
Austin Peay State University,77.0,F,2.2,0.405,0.9,15.9,0.522,8.3,0.747,5.5,4.1,105.0,21.6,416260.0,1997,2,34
University of Cincinnati,76.0,G,5.7,0.375,2.2,8.8,0.423,3.7,0.8390000000000001,1.6,1.3,59.0,10.9,416875.095,2004,0,0
North Carolina State University,75.0,G,6.0,0.436,2.6,15.6,0.457,7.1,0.836,4.4,3.7,124.0,20.6,417074.0,1991,2,30
"Santa Clara University, University of California",83.0,C-F,0.0,0.0,0.0,10.5,0.634,6.6,0.526,5.9,3.1,107.0,16.4,419265.0,1984,1,22
Blinn College,82.0,F-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420153.318,2001,0,0
University of Notre Dame,79.0,G-F,0.0,0.0,0.0,4.3,0.5,2.1,0.765,2.1,1.6,109.0,5.9,423150.0,1985,1,20
Seattle University,84.0,C,0.0,0.0,0.0,12.4,0.524,6.5,0.5479999999999999,3.3,1.8,102.0,14.8,423150.0,1985,2,41
University of Colorado,77.0,G,3.9,0.308,1.2,15.4,0.42100000000000004,6.5,0.6659999999999999,6.7,4.5,107.0,18.6,423500.0,1995,2,42
University of Houston,82.0,F-C,0.0,0.0,0.0,10.0,0.55,5.5,0.5760000000000001,4.4,2.5,123.0,13.5,423835.0,1987,1,23
Louisiana State University,80.0,G-F,0.0,0.0,0.0,8.9,0.521,4.6,0.5820000000000001,4.5,2.6,90.0,11.9,423952.776,1985,1,22
University of Minnesota,87.0,C,0.0,0.0,0.0,10.0,0.57,5.7,0.7290000000000001,4.8,3.5,119.0,14.9,424347.0,1984,1,18
University of Oregon,78.0,G,3.1,0.395,1.2,10.4,0.504,5.2,0.643,3.7,2.4,117.0,14.1,425171.20099999994,2008,2,48
Murray State University,77.0,G,2.5,0.449,1.1,15.2,0.522,7.9,0.7659999999999999,6.0,4.6,117.0,21.2,425459.99999999994,1990,2,31
University of Illinois at Urbana-Champaign,80.0,F,0.5,0.424,0.2,10.0,0.495,5.0,0.769,3.2,2.5,65.0,12.6,425459.99999999994,1990,2,42
St. John's University,73.0,G,7.6,0.309,2.3,13.5,0.36,4.9,0.742,4.4,3.3,29.0,15.3,426071.34,2001,2,32
Loyola University of Chicago,77.0,F-G,0.0,0.0,0.0,22.2,0.461,10.2,0.659,5.8,3.9,120.0,24.3,429992.94,1985,1,14
"University of Houston, Western Michigan University",77.0,G,0.0,0.0,0.0,14.6,0.475,6.9,0.7809999999999999,4.2,3.3,54.0,17.1,431180.9280000001,2011,0,0
Baylor University,70.0,G,5.6,0.379,2.1,11.9,0.441,5.3,0.8079999999999999,5.0,4.0,74.0,16.7,431200.0,2014,2,42
Seattle University,75.0,G,0.0,0.0,0.0,14.8,0.499,7.4,0.71,3.9,2.8,102.0,17.5,431970.0,1984,2,36
Indiana University,78.0,G-F,0.6,0.444,0.3,9.3,0.524,4.9,0.779,2.3,1.8,133.0,11.6,431970.0,1984,1,22
University of Minnesota,84.0,C,0.0,0.0,0.0,3.0,0.612,1.8,0.5770000000000001,1.6,0.9,119.0,4.6,434500.00000000006,1994,0,0
Louisiana State University,84.0,C,0.0,0.0,0.0,5.3,0.47100000000000003,2.5,0.685,2.2,1.5,113.0,6.5,434500.00000000006,1994,1,26
University of Louisville,78.0,G-F,2.7,0.363,1.0,9.3,0.507,4.7,0.7390000000000001,3.0,2.2,95.0,12.6,434500.00000000006,1994,1,25
Morehouse College,77.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434500.00000000006,1994,0,0
Ohio State University,79.0,F,2.4,0.382,0.9,6.9,0.434,3.0,0.743,1.7,1.2,123.0,8.2,434500.00000000006,1994,0,0
"South Plains College, University of Houston",80.0,F,0.0,0.0,0.0,8.6,0.669,5.8,0.474,5.3,2.5,61.0,14.0,434500.00000000006,1994,0,0
West Virginia University,80.0,F,2.5,0.315,0.8,10.6,0.494,5.2,0.677,2.7,1.8,139.0,13.1,435270.1319999999,2012,0,0
